Site,Category,Homepage,Submit/Edit URL,Login,Reciprocal Badge,Paid,Recommendation,Notes
Product Hunt,Launch platform,https://producthunt.com,https://www.producthunt.com/posts/new,Yes,No,No,Do (login),High-traffic launch platform; product pages are editable. Multiple launches can coexist.
AlternativeTo,Software directory,https://alternativeto.net,https://alternativeto.net/manage-item/,Yes,No,No,Refresh (login),"DR ~92, dofollow. Usually already listed - use Contribute > Edit/Update to refresh (new-item submit is blocked by duplicate name). Edits go to moderation. For a brand-new product, check /software/<slug>/about/ first (404 = not listed); /manage-item/ redirects straight to a login wall (Google/GitHub/Apple/email) with no public submit path either way - a human must sign in before anything can be filled (verified 2026-09)."
Startup Buffer,Startup directory,https://startupbuffer.com,https://startupbuffer.com/site/submit,No,No,No,Do (public form),"No login to submit - click 'Submit Startup' on the homepage (old /startup/submit URL now redirects home; use the button). 3-step public form (name/url/email -> pitch+description+screenshot -> optional country/category/tags/socials); an account is created via magic-link only if you want to edit later. Confirmed working - ""Your submission is in."" (verified 2026-09). A paid promotion upsell page follows the confirmation - skip it, the base listing is free."
aitools.inc,AI directory,https://aitools.inc,https://aitools.inc/submit,No,No,No,Do (public form),"No login: the 'Free Listing' Submit Now button opens a standalone Typeform (name, website, first/last name, email) - fill and submit, no account needed. Confirmed working end-to-end (verified 2026-09). A paid 'Fast Lane' ($129) tier is also offered on the submit page - skip it."
Uneed,Launch/AI directory,https://uneed.best,https://www.uneed.best/submit-a-tool,Yes,No,No,Do (login),Tool submission; refresh the description if already there.
PitchWall,Startup directory,https://pitchwall.co,https://pitchwall.co/submit,Yes,No,Partial,Skip: paid,Free tier gives a NOFOLLOW link + 30-day wait; dofollow only on paid ($49-$99).
Smol Launch,Launch/indie directory,https://smollaunch.com,https://smollaunch.com/dashboard/products/new,Yes,Yes,No,Conditional: reciprocal badge (free tier),"Product form works fully (name, tagline, logo, website, description, 1-3 launch tags). Then a 3-plan launch step: the only $0 option ('Free Verified') REQUIRES the Smol Launch badge in your homepage (DR72 dofollow backlink, verified via raw HTML) - opt-in only. Premium $19/launch (no badge), Launch Everywhere $99. Old /submit 404s; use /dashboard/products/new. Product draft persists server-side once details are saved (verified 2026-08)."
GitHub,Code/dev,https://github.com,https://github.com/new,Yes,No,No,Conditional: org creation may need approval,"Create a user/org for the product; add a profile README (repo named same as the username) for a rich indexed page. Bio link is nofollow but it is a real brand presence. NOTE: creating a brand-new GitHub Organization (github.com/account/organizations/new) was blocked by an auto-mode permission classifier in an unattended/automated browser session (treated as an account-creation-adjacent action) - in a fully automated run this step needs a human to approve or complete manually; it is not a site-side CAPTCHA (verified 2026-09)."
LinkedIn Company Page,Social/professional,https://linkedin.com,https://www.linkedin.com/company/setup/new/,Yes,No,No,Do (login),Edit Page > Details for About/Overview + website; Page info for tagline. Watch for an 'another admin editing' lock - use one fresh session.
Softonic,Software download/review,https://en.softonic.com,https://publishing-center.softonic.com/,Yes,No,No,Blocked: login wall (Publishing Center),"CORRECTED 2026-09: this is not a claim flow - the route is the Softonic Publishing Center ('Publish, manage, and distribute', 'Reach 100M+ users', 'Free to publish', 'Support 24/7'). en.softonic.com/publishing-center and en.softonic.com/developers both 404; the working URL is publishing-center.softonic.com, reached via the Developers link in the main-site header. Being signed in on softonic.com does NOT carry over - the Publishing Center shows its own Log in / Sign up. A human must sign in or sign up once, then 'Upload your app'. Web apps are accepted."
Trust Traffic,Traffic/startup stats,https://trust-traffic.com,https://trust-traffic.com,Unknown,No,No,Claim,Auto-generated stats page; usually not editable - check for a claim option.
Hacker News,Community/news,https://news.ycombinator.com,https://news.ycombinator.com/submit,Yes,No,No,Optional,"Not an editable profile; a 'Show HN' post is a one-time launch, not a listing."
SaaSHub,SaaS directory,https://saashub.com,https://www.saashub.com/submit,Yes,No,No,Do (login),"Free submission WORKS when already logged in: pick 2 categories + real competitor/alternatives, Free pricing tier (submitted OK 2026-08). New-account registration is the blocker (CAPTCHA + reset emails) - only viable with an existing login."
FutureTools,AI directory,https://futuretools.io,https://www.futuretools.io/submit-a-tool,No,No,No,Do (public form),"No login. Cloudflare Turnstile usually auto-passes. Curated review before publishing; wants a clear, jargon-free description. Confirmed working end-to-end (Design category, Paid pricing) - 'Tool Submitted!' (verified 2026-09)."
Gartner Digital Markets,B2B review network,https://www.gartner.com/reviews,https://www.gartner.com/reviews,Yes,No,No,High value,Gates the Capterra/GetApp/Software Advice syndication (see Capterra). Account setup can be involved.
Crunchbase,Company database,https://crunchbase.com,https://www.crunchbase.com/add-new,Yes,No,No,Do (login),"DR ~91. Create a company profile; goes to moderation. GOTCHA: the Description field has a strict 140-character limit (not obvious from the label) - a longer bio throws 'Length must be between 2 and 140' silently until you scroll to see it. Confirmed working (verified 2026-09)."
Wellfound,Startup/jobs,https://wellfound.com,https://wellfound.com/company,Yes,No,No,Blocked: interactive bot-check,"Create the company via the recruiter onboarding (Raising-money path): logo, markets, one-line pitch. High DA. As of 2026-09 the page is gated by an interactive Cloudflare 'Verify you are human' checkbox challenge (not an auto-passing Turnstile) - this is a CAPTCHA-class bot-check per policy and must be handed to a human, not automated (verified 2026-09)."
F6S,Startup community,https://f6s.com,https://www.f6s.com/company/signup,Yes,No,No,Refresh (login) - check the dashboard first,"CHECK BEFORE CREATING: /company/signup silently redirects to /signup and renders blank when already signed in - open f6s.com instead and read the 'Add your' menu, which lists any company you already own (e.g. a link straight to /<company-slug>). Rich profile (logo, tagline, long description, markets, socials, stage); auto-saves on blur. Use 'Add your > Company or Organization', not 'Software' (that is the deals marketplace). Solid duplicate guard: a name already on the account shows ""You're already on the <Name> page"". Watch for the Software section accumulating near-duplicate product entries for the same product (verified 2026-09)."
Capterra,Software review,https://capterra.com,https://www.capterra.com/vendors/sign-up,Yes,No,No,High value,"One submission at the Gartner/Digital-Markets 'get-listed' flow syndicates to Capterra + GetApp + Software Advice. Pick the specific category, add features, media, real pricing."
GetApp,Software review,https://getapp.com,https://www.capterra.com/vendors/sign-up,Yes,No,No,Via Capterra,Syndicated from the single Capterra/Digital-Markets submission - do not submit separately.
Software Advice,Software review,https://softwareadvice.com,https://www.capterra.com/vendors/sign-up,Yes,No,No,Via Capterra,Syndicated from the single Capterra/Digital-Markets submission - do not submit separately.
Trustpilot,Review platform,https://www.trustpilot.com,https://business.trustpilot.com/signup,Yes,No,No,Blocked: account creation,"business.trustpilot.com/signup redirects to signup.business.trustpilot.com/create-account, a 4-step create-account flow (business details > additional details > personal details > activate account). Account creation is off-limits per the golden rules, so this needs a human. Low priority anyway for a new product: a profile with zero reviews adds little and reviews must never be fabricated (verified 2026-09)."
Clutch,B2B services review,https://clutch.co,https://clutch.co/get-listed,Yes,No,No,Optional,B2B agency-oriented; weaker fit for self-serve SaaS. Free listing via account.
GoodFirms,B2B software review,https://goodfirms.co,https://www.goodfirms.co/get-listed,Yes,No,No,Blocked: login wall,"Free $0-forever tier still exists (no card) but the page now advertises a 23% acceptance rate - it is curated, not automatic. CHANGED 2026-09: both 'List your company for free' and 'Apply for free listing' route straight to myaccount.goodfirms.co/users/login (LinkedIn OAuth / Google OAuth / email) with no public form - a human must sign in or sign up before the 8-step software listing can be filled. PRO tier $49/mo - skip (verified 2026-09)."
SourceForge,Software directory,https://sourceforge.net,https://sourceforge.net/software/vendors/new,No,No,No,Do (public form),"Public vendor request form, no login (name, logo, description, category, price, platforms, support). Also covers Slashdot Media. Make an account later to manage if approved."
Startup Stash,Resource directory,https://startupstash.com,https://startupstash.com/add-startup,Unknown,No,No,Skip: dead,Submit page tends to 404; recheck for a current URL.
